country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","06-01-2025 23:00:00",27.103358,93.679645,OZONE,3,3,3
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","06-01-2025 23:00:00",26.10887,91.589544,OZONE,17,22,20
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","06-01-2025 23:00:00",26.1209,85.3647,OZONE,15,32,28
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","06-01-2025 23:00:00",25.586562,85.043586,OZONE,3,46,20
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","06-01-2025 23:00:00",21.224231,81.408350,OZONE,4,45,27
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","06-01-2025 23:00:00",22.118125,83.140608,OZONE,18,68,40
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","06-01-2025 23:00:00",22.126650,83.483212,OZONE,2,4,3
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","06-01-2025 23:00:00",27.308328,84.531742,OZONE,9,10,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","06-01-2025 23:00:00",14.675886,77.593027,OZONE,11,42,35
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","06-01-2025 23:00:00",25.697189,85.245900,OZONE,9,64,27
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","06-01-2025 23:00:00",21.194815,81.314770,OZONE,6,113,53
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","06-01-2025 23:00:00",26.349082,92.68449,OZONE,6,40,30
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-01-2025 23:00:00",28.567890,77.250515,OZONE,5,55,33
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","06-01-2025 23:00:00",21.371751,81.664929,OZONE,3,4,3
India,Delhi,Delhi,"Alipur, Delhi - DPCC","06-01-2025 23:00:00",28.815329,77.153010,OZONE,1,45,34
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","06-01-2025 23:00:00",23.043070,72.562968,OZONE,7,39,27
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","06-01-2025 23:00:00",23.163798,72.677768,OZONE,5,34,23
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-01-2025 23:00:00",28.732820,77.170633,OZONE,6,29,11
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","06-01-2025 23:00:00",23.002657,72.591912,OZONE,7,35,22
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-01-2025 23:00:00",23.020509,72.579261,OZONE,5,73,43
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","06-01-2025 23:00:00",28.39072,77.30059,OZONE,26,42,35
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","06-01-2025 23:00:00",28.710508,77.249485,OZONE,1,40,29
India,Delhi,Delhi,"DTU, Delhi - CPCB","06-01-2025 23:00:00",28.7500499,77.1112615,OZONE,37,43,39
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","06-01-2025 23:00:00",23.076793,72.627874,OZONE,12,52,40
India,Karnataka,Karwar,"KHB Colony, Karwar - KSPCB","06-01-2025 23:00:00",14.816666,74.141003,CO,8,9,8
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","06-01-2025 23:00:00",15.347630,76.181767,OZONE,1,52,34
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","06-01-2025 23:00:00",30.7057778,76.8531805555555,OZONE,20,22,21
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","06-01-2025 23:00:00",13.940000,75.555917,OZONE,6,60,34
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","06-01-2025 23:00:00",13.0246342,77.5080115,OZONE,25,26,26
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","06-01-2025 23:00:00",12.917348,77.622813,OZONE,18,22,21
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","06-01-2025 23:00:00",28.4227,77.0667,OZONE,10,46,24
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","06-01-2025 23:00:00",13.328028,75.797056,OZONE,13,59,53
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","06-01-2025 23:00:00",15.888653,74.541751,OZONE,19,20,20
India,Karnataka,Hassan,"B.Katihalli, Hassan - KSPCB","06-01-2025 23:00:00",13.008556,76.125258,OZONE,1,2,2
India,Kerala,Kollam,"Polayathode, Kollam - Kerala PCB","06-01-2025 23:00:00",8.8787,76.6073,OZONE,31,36,33
India,Maharashtra,Mumbai,"Ghatkopar, Mumbai - BMC","06-01-2025 23:00:00",19.083694,72.920967,OZONE,13,287,158
India,"Madhya Pradesh",Singrauli,"Suryakiran Bhawan NCL, Singrauli - MPPCB","06-01-2025 23:00:00",24.108970,82.645580,OZONE,6,135,46
India,"Madhya Pradesh",Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab","06-01-2025 23:00:00",23.331731,75.045981,SO2,16,17,16
India,"Madhya Pradesh",Sagar,"Deen Dayal Nagar, Sagar - MPPCB","06-01-2025 23:00:00",23.8640158,78.80289321,CO,24,27,26
India,"Madhya Pradesh",Gwalior,"City Center, Gwalior - MPPCB","06-01-2025 23:00:00",26.203442,78.193251,OZONE,22,31,25
India,"Madhya Pradesh",Gwalior,"Deen Dayal Nagar, Gwalior - MPPCB","06-01-2025 23:00:00",26.259242,78.216432,OZONE,30,62,46
India,Maharashtra,Mumbai,"Chembur, Mumbai - MPCB","06-01-2025 23:00:00",19.0364585,72.8954371,OZONE,20,131,82
India,Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB","06-01-2025 23:00:00",19.10078,72.87462,OZONE,7,8,7
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","06-01-2025 23:00:00",23.168606,79.932247,OZONE,4,97,55
India,"Madhya Pradesh",Bhopal,"Idgah Hills, Bhopal - MPPCB","06-01-2025 23:00:00",23.264759,77.381568,OZONE,41,102,71
India,Maharashtra,Mumbai,"Byculla, Mumbai - BMC","06-01-2025 23:00:00",18.9767,72.8380,OZONE,16,124,99
India,Maharashtra,Mumbai,"Mulund West, Mumbai - MPCB","06-01-2025 23:00:00",19.1750,72.9419,OZONE,18,19,18
India,Maharashtra,Mumbai,"Powai, Mumbai - MPCB","06-01-2025 23:00:00",19.137500,72.915056,OZONE,9,9,9
India,Punjab,"Mandi Gobindgarh","RIMT University, Mandi Gobindgarh - PPCB","06-01-2025 23:00:00",30.649961,76.331442,OZONE,35,41,38
India,Maharashtra,Mumbai,"Shivaji Nagar, Mumbai - BMC","06-01-2025 23:00:00",19.060498,72.923356,OZONE,21,129,71
India,Maharashtra,Mumbai,"Siddharth Nagar-Worli, Mumbai - IITM","06-01-2025 23:00:00",19.000083,72.813993,OZONE,25,97,64
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","06-01-2025 23:00:00",31.321907,75.578914,OZONE,19,58,45
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","06-01-2025 23:00:00","30.736056 ",76.209694,OZONE,11,26,18
India,Manipur,Imphal,"DM College of Science, Imphal - Manipur PCB","06-01-2025 23:00:00",24.8207389,93.9423085,OZONE,NA,NA,NA
India,Maharashtra,"Navi Mumbai","Sector-2E Kalamboli, Navi Mumbai - MPCB","06-01-2025 23:00:00",19.02579,73.10297,OZONE,4,104,54
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","06-01-2025 23:00:00",20.94185,86.11510,OZONE,16,177,77
India,Odisha,Rourkela,"Raghunathpali, Rourkela - OSPCB","06-01-2025 23:00:00",22.220833,84.809444,OZONE,2,87,31
India,Maharashtra,Pimpri-Chinchwad,"Thergaon, Pimpri Chinchwad - MPCB","06-01-2025 23:00:00",18.616318,73.765797,OZONE,41,133,82
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","06-01-2025 23:00:00",26.470859,74.646594,OZONE,18,30,26
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","06-01-2025 23:00:00",25.164090,75.858137,OZONE,7,57,27
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","06-01-2025 23:00:00",25.196024,75.855668,OZONE,12,61,34
India,Rajasthan,"Sri Ganganagar","Old City, Sri Ganganagar - RSPCB","06-01-2025 23:00:00",29.931624,73.864511,OZONE,13,42,28
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","06-01-2025 23:00:00",12.8777316,80.0834807,OZONE,6,6,6
India,Rajasthan,Jodhpur,"Digari Kalan, Jodhpur - RSPCB","06-01-2025 23:00:00",26.295810,73.082283,OZONE,21,73,49
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","06-01-2025 23:00:00",24.588397,76.172782,OZONE,6,42,33
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","06-01-2025 23:00:00",28.296139,74.961696,OZONE,36,121,89
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","06-01-2025 23:00:00",26.902909,75.836858,OZONE,9,54,41
India,Rajasthan,Jodhpur,"Mandor, Jodhpur - RSPCB","06-01-2025 23:00:00",26.358805,73.047444,OZONE,44,125,106
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur - RSPCB","06-01-2025 23:00:00",26.253384,72.976571,OZONE,54,157,102
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB","06-01-2025 23:00:00",8.728442,77.6962,OZONE,6,7,6
India,TamilNadu,Gummidipoondi,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB","06-01-2025 23:00:00",13.4127,80.1081,SO2,NA,NA,NA
India,Telangana,Hyderabad,"Kokapet, Hyderabad - TSPCB","06-01-2025 23:00:00",17.393559,78.339194,OZONE,26,75,44
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","06-01-2025 23:00:00",17.429398,78.569354,OZONE,16,36,29
India,TamilNadu,Chennai,"Arumbakkam, Chennai - TNPCB","06-01-2025 23:00:00",13.0664,"80.2112 ",SO2,6,75,24
India,TamilNadu,Ranipet,"VOC Nagar_SIPCOT, Ranipet - TNPCB","06-01-2025 23:00:00",12.952707,79.30394,OZONE,1,1,1
India,TamilNadu,Thanjavur,"Parisutham Nagar, Thanjavur - TNPCB","06-01-2025 23:00:00",10.7654824,79.1389968,OZONE,4,26,12
India,TamilNadu,Tiruchirappalli,"St Joseph College, Tiruchirappalli - TNPCB","06-01-2025 23:00:00",10.830158,78.691849,CO,12,13,12
India,Telangana,Hyderabad,"ECIL Kapra, Hyderabad - TSPCB","06-01-2025 23:00:00",17.470431,78.566959,OZONE,9,29,29
India,TamilNadu,Chennai,"Perungudi, Chennai - TNPCB","06-01-2025 23:00:00",12.9533,80.2357,OZONE,8,17,11
India,Telangana,Hyderabad,"IDA Pashamylaram, Hyderabad - TSPCB","06-01-2025 23:00:00",17.5316895,78.218939,OZONE,7,37,19
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","06-01-2025 23:00:00",25.4547,78.6039,OZONE,1,3,2
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","06-01-2025 23:00:00",26.428282,80.327067,OZONE,9,12,12
India,Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB","06-01-2025 23:00:00",26.4703136,80.3229863,OZONE,6,26,18
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","06-01-2025 23:00:00",27.1594,78.3953,OZONE,14,15,15
India,Uttar_Pradesh,Ghaziabad,"Indirapuram, Ghaziabad - UPPCB","06-01-2025 23:00:00",28.646233,77.358075,OZONE,2,11,6
India,Uttar_Pradesh,Agra,"Sector-3B Avas Vikas Colony, Agra - UPPCB","06-01-2025 23:00:00",27.19412,77.96237,OZONE,8,33,15
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB","06-01-2025 23:00:00",27.19862,77.92066,OZONE,1,4,2
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","06-01-2025 23:00:00",28.5447608,77.3231257,OZONE,1,24,13
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad - UPPCB","06-01-2025 23:00:00",28.6603346,77.3572563,OZONE,2,18,9
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","06-01-2025 23:00:00",26.8458805,80.9365541,OZONE,6,25,14
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB","06-01-2025 23:00:00",28.83526,78.74460,OZONE,6,8,6
India,Uttar_Pradesh,Bareilly,"Civil Lines, Bareilly - UPPCB","06-01-2025 23:00:00",28.359581,79.414455,OZONE,14,17,16
India,Telangana,Hyderabad,"Somajiguda, Hyderabad - TSPCB","06-01-2025 23:00:00",17.417094,78.457437,OZONE,25,82,48
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","06-01-2025 23:00:00",25.32393,82.99687,OZONE,1,3,2
India,West_Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB","06-01-2025 23:00:00",23.6181830,87.1057180,OZONE,7,71,29
India,West_Bengal,Durgapur,"Sidhu Kanhu Indoor Stadium, Durgapur - WBPCB","06-01-2025 23:00:00",23.5404352,87.2892225,OZONE,2,63,9
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","06-01-2025 23:00:00",22.06047,88.109737,OZONE,19,65,26
India,West_Bengal,Howrah,"Botanical Garden, Howrah - WBPCB","06-01-2025 23:00:00",22.554954,88.292568,OZONE,1,87,37
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","06-01-2025 23:00:00",22.58157048,88.41002457,OZONE,15,100,36
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","06-01-2025 23:00:00",22.556640,88.342674,OZONE,19,77,43
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","06-01-2025 23:00:00",22.51106,88.35142,OZONE,5,102,37
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","06-01-2025 23:00:00",26.6879226,88.4152495,OZONE,14,44,20
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","06-01-2025 23:00:00",25.610369,85.132568,OZONE,23,25,24
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","06-01-2025 23:00:00",25.204762,85.514960,OZONE,19,50,34
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","06-01-2025 23:00:00",24.7955,84.9994,OZONE,19,21,20
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","06-01-2025 23:00:00",16.9872867,81.7363176,OZONE,1,6,2
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","06-01-2025 23:00:00",22.1910172,83.5197009,OZONE,1,72,20
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","06-01-2025 23:00:00",21.258815,81.578979,OZONE,1,6,2
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","06-01-2025 23:00:00",26.187500,91.744194,OZONE,16,17,17
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","06-01-2025 23:00:00",26.071318,91.87488,OZONE,21,136,39
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","06-01-2025 23:00:00",30.719859,76.738637,OZONE,3,61,28
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","06-01-2025 23:00:00",25.5626095,84.663264,OZONE,1,60,19
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","06-01-2025 23:00:00",13.204880,79.097889,OZONE,27,39,33
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","06-01-2025 23:00:00",26.80365,84.51954,OZONE,22,26,23
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","06-01-2025 23:00:00",28.588333,77.221667,SO2,NA,NA,NA
India,Delhi,Delhi,"Bawana, Delhi - DPCC","06-01-2025 23:00:00",28.776200,77.051074,OZONE,3,38,30
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","06-01-2025 23:00:00",23.243639,72.68994,OZONE,10,117,79
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","06-01-2025 23:00:00",23.221714,72.654328,OZONE,4,30,17
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","06-01-2025 23:00:00",28.623763,77.287209,OZONE,1,41,22
India,Delhi,Delhi,"Pusa, Delhi - DPCC","06-01-2025 23:00:00",28.639652,77.146275,OZONE,4,9,7
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","06-01-2025 23:00:00",28.4501238,77.0263051,OZONE,8,55,35
India,Delhi,Delhi,"Mundka, Delhi - DPCC","06-01-2025 23:00:00",28.684678,77.076574,OZONE,6,33,31
India,Delhi,Delhi,"ITO, Delhi - CPCB","06-01-2025 23:00:00",28.628624,77.241060,OZONE,12,14,13
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","06-01-2025 23:00:00",23.041137,72.456691,OZONE,24,52,38
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-01-2025 23:00:00",23.107969,72.574648,OZONE,19,76,57
India,Karnataka,Kalaburagi,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB","06-01-2025 23:00:00",17.321993,76.822628,OZONE,23,69,30
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","06-01-2025 23:00:00",13.003872,77.664217,OZONE,28,29,29
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","06-01-2025 23:00:00",12.990328,77.5431385,CO,30,48,40
India,"Madhya Pradesh",Indore,"Vijay Nagar Scheme-78, Indore - Glenmark","06-01-2025 23:00:00",22.76726,75.88710,SO2,26,29,28
India,Karnataka,Raichur,"Haji Colony, Raichur - KSPCB","06-01-2025 23:00:00",16.208139,77.348417,CO,120,129,123
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","06-01-2025 23:00:00",13.377516,77.099072,OZONE,5,7,6
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","06-01-2025 23:00:00",23.81748678,79.446246,CO,22,23,22
India,"Madhya Pradesh",Dewas,"Bhopal Chauraha, Dewas - MPPCB","06-01-2025 23:00:00",22.9682591,76.064118,OZONE,17,313,23
India,"Madhya Pradesh",Katni,"Gole Bazar, Katni - MPPCB","06-01-2025 23:00:00",23.50016,80.23284,OZONE,21,115,65
India,"Madhya Pradesh",Maihar,"Sahilara, Maihar - KJS Cements","06-01-2025 23:00:00",24.2613009,80.7231783,CO,48,52,51
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","06-01-2025 23:00:00",15.459706,75.008381,OZONE,10,64,31
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","06-01-2025 23:00:00",15.411456,75.638133,OZONE,31,52,44
India,"Madhya Pradesh",Sagar,"Civil Lines, Sagar - MPPCB","06-01-2025 23:00:00",23.838586,78.759431,OZONE,12,67,40
India,Karnataka,Hubballi,"Deshpande Nagar, Hubballi - KSPCB","06-01-2025 23:00:00",15.351773,75.140726,OZONE,8,8,8
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","06-01-2025 23:00:00",15.3714823,75.1160168,OZONE,11,37,23
India,Maharashtra,Mumbai,"Colaba, Mumbai - MPCB","06-01-2025 23:00:00",18.910000,72.820000,OZONE,11,11,11
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","06-01-2025 23:00:00",19.0243902,73.0406721,OZONE,25,107,68
India,Maharashtra,Bhiwandi,"Gokul Nagar, Bhiwandi - MPCB","06-01-2025 23:00:00",19.309073,73.057223,OZONE,11,92,73
India,Maharashtra,Boisar,"Khaira, Boisar - MPCB","06-01-2025 23:00:00",19.786089,72.757971,OZONE,20,90,64
India,Maharashtra,Jalna,"Old MIDC, Jalna - MPCB","06-01-2025 23:00:00",19.854616,75.905894,OZONE,13,300,97
India,Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB","06-01-2025 23:00:00",19.192056,72.9585188,OZONE,14,90,59
India,Maharashtra,Nagpur,"Mahal, Nagpur - MPCB","06-01-2025 23:00:00",21.14472,79.107595,OZONE,4,54,31
India,Maharashtra,Nagpur,"Opp GPO Civil Lines, Nagpur - MPCB","06-01-2025 23:00:00",21.152875,79.0517531,OZONE,2,83,35
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB","06-01-2025 23:00:00",19.065931,72.862131,OZONE,2,105,75
India,Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB","06-01-2025 23:00:00",19.2243333,72.8658113,OZONE,1,96,55
India,Maharashtra,Kolhapur,"Sinchan Bhavan, Kolhapur - MPCB","06-01-2025 23:00:00",16.7143745,74.2426398,OZONE,3,61,27
